cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
112-02-7,HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,Quaternary Ammonium and Phosphonium Salts,8154,Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts,MATCH
1762-95-4,AMMONIUM THIOCYANATE,"Reducing Agents, Strong",15666,"Reducing Agents, Strong;Salts, Acidic;Water and Aqueous Solutions",MATCH
10039-54-0,HYDROXYLAMINE SULFATE,"Reducing Agents, Strong",24846,"Reducing Agents, Strong;Salts, Acidic",MATCH
10026-17-2,COBALT FLUORIDE,"Reducing Agents, Weak",24820,"Reducing Agents, Weak;Salts, Basic",MATCH
101-02-0,TRIPHENYL PHOSPHITE,"Reducing Agents, Weak",7540,"Reducing Agents, Weak;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
7758-98-7,CUPRIC SULFATE,"Salts, Acidic",24462,"Salts, Acidic",MATCH
7786-81-4,NICKEL SULFATE,"Salts, Acidic",24586,"Salts, Acidic",MATCH
10031-13-7,LEAD(II) ARSENITE,"Salts, Basic",197119,"Salts, Basic",MATCH
10102-20-2,SODIUM TELLURITE,"Salts, Basic",24935,"Reducing Agents, Weak;Salts, Basic",MATCH
1344-00-9,규화알루미늄산 나트륨(SODIUM SILICOALUMINATE),Siloxanes,72941443,"Salts, Basic;Siloxanes",MATCH
1185-81-5,DIBUTYLTIN-BIS(LAURYL MERCAPTIDE),"Sulfides, Inorganic",9561614,"Organometallics;Sulfides, Inorganic",MATCH
12035-72-2,NICKEL SUBSULFIDE,"Sulfides, Inorganic",25199732,"Sulfides, Inorganic",MATCH
7220-79-3,"메틸렌 블루, 트리수화물(METHYLENE BLUE, TRIHYDRATE)","Sulfides, Organic",104827,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Quaternary Ammonium and Phosphonium Salts;Sulfides, Organic",MATCH
7772-98-7,SODIUM THIOSULFATE,Sulfite and Thiosulfate Salts,24477,,NO_PUBCHEM_DATA
10192-30-0,"AMMONIUM BISULFITE, SOLID",Sulfite and Thiosulfate Salts,10441651,"Salts, Acidic;Sulfite and Thiosulfate Salts;Water and Aqueous Solutions",MATCH
